paper_ref,family,system,variant,walk,model_name,topk,ep,mb,nodes,q,q_over_bdp,rto_min_us,mtu,makespan_ms,rtos,quotable,quotable_why,fct_logdir,source,note,link_rate_fixed,quoted_by
cliff,glass,glassfb,,g16m8,llamaMoE,,16,8,128,266,1.00,,,88.198,22,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m8,llamaMoE,,16,8,128,133,0.50,,,121.058,2010,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
mb,glass,glassfb,,,llamaMoE,,16,16,128,1064,4.0,100,1500,89.759,0,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),shared_logdir,mb_sweep.csv,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,,
cliff,glass,glassfb,,g16m16,llamaMoE,,16,16,128,1064,3.99,,,91.464,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m16,llamaMoE,,16,16,128,2128,7.98,,,91.464,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m16,llamaMoE,,16,16,128,4256,15.96,,,91.464,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m16,llamaMoE,,16,16,128,532,2.00,,,91.471,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung; one job per rung | drops measured on the counter build at the same makespan,yes,collector
cliff,glass,glassfb,,g16m16,llamaMoE,,16,16,128,266,1.00,,,93.696,33,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m16,llamaMoE,,16,16,128,133,0.50,,,132.714,2042,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
mb,glass,glassfb,,,llamaMoE,,16,32,128,1064,4.0,100,1500,97.094,0,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),shared_logdir,mb_sweep.csv,vanishing-timeout rule; quoted=yes is the shallowest zero-RTO buffer,,
cliff,glass,glassfb,,g16m32,llamaMoE,,16,32,128,532,2.00,,,102.703,0,yes,first zero-timeout rung (post-fix binary),,cliff_postfix.csv,post-fix rung; one job per rung | drops measured on the counter build at the same makespan,yes,collector
cliff,glass,glassfb,,g16m32,llamaMoE,,16,32,128,266,1.00,,,102.731,56,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m32,llamaMoE,,16,32,128,1064,3.99,,,102.763,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m32,llamaMoE,,16,32,128,2128,7.98,,,102.763,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m32,llamaMoE,,16,32,128,4256,15.96,,,102.763,0,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
cliff,glass,glassfb,,g16m32,llamaMoE,,16,32,128,133,0.50,,,135.127,2156,no,not the first qualifying rung of this walk,,cliff_postfix.csv,post-fix rung; one job per rung,yes,collector
plateau,glass,glassfb,,,llamaMoE,,32,,256,2100,7.88,,,75.520,0,no,link-rate truncation: pre-fix binary (no link_rate_fixed=yes on this row),shared_logdir,qplateau_ep32.csv,plateau perturbation; is the q-chaos confined to the timeout regime,,
