paper_ref,system,cabling,ep,nodes,mb,q,relayed_pairs,completed,makespan_ms,rtos,flows_total,flows_payload,mean_fct_ms,p50_fct_ms,p99_fct_ms,max_fct_ms,wall_s,status,note,link_rate_fixed,binary_sha,model_name,family,q_over_bdp,drops,quotable,quotable_why,walk,quoted_by,fct_logdir,fct_status,,domain,switches,link_gbps,nic_bw,q_nvs,q_nic,source
cliff,glassfb_800,ep16_0_8_4.txt,16,128,4,266,0,COMPLETE,195.002,47,78592,57472,0.0174,0.0008,0.2346,11.2910,133,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,101281,no,not the first qualifying rung of this walk,g16b800m4,collector,./logs/rung_12939998_763796_1788834178925154091,clean,,,,,,,,g16b800m4_q266.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,4,4267,0,COMPLETE,85.663,0,78592,57472,0.0172,0.0008,0.2315,1.0936,143,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800m4,collector,./logs/rung_12940002_4050237_1788834178855923777,clean,,,,,,,,g16b800m4_q4267.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,4,533,0,COMPLETE,85.663,0,78592,57472,0.0172,0.0008,0.2315,1.0936,139,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,yes,first zero-timeout rung (post-fix binary),g16b800m4,collector,./logs/rung_12939999_3014674_1788834178931603417,clean,,,,,,,,g16b800m4_q533.csv
cliff,glassfb_800,ep16_0_8_4.txt,16,128,4,8533,0,COMPLETE,85.663,0,78592,57472,0.0172,0.0008,0.2315,1.0936,152,sweep,post-fix rung (glass); dim_a2a=1; portmap=ep16_0_8_4.txt; hier=0; port_bw=800; ep_place=1; tp=1; ep=1; 200G/lane: static laser+tune NOT re-budgeted -- same 5.3 W/panel as 100G/lane and likely low for the higher-rate lanes; link pJ/bit unchanged (dynamic),yes,fcdc6e7,llamaMoE,,,0,no,not the first qualifying rung of this walk,g16b800m4,collector,./logs/rung_12940003_594532_1788834178877412777,clean,,,,,,,,g16b800m4_q8533.csv
cliff,glassfb,ep16_0_8_4.txt,16,128,16,1064,0,COMPLETE,91.464,0,78592,57472,0.0697,0.0008,0.8557,6.1432,468,sweep,post-fix rung; one job per rung,yes,9ac4f76,llamaMoE,glass,3.99,,no,not the first qualifying rung of this walk,g16m16,collector,,,,,,,,,,g16m16_q1064.csv
cliff,glassfb,ep16_0_8_4.txt,16,128,16,133,0,COMPLETE,132.714,2042,78592,57472,0.1527,0.0008,5.8248,21.3705,427,sweep,post-fix rung; one job per rung,yes,9ac4f76,llamaMoE,glass,0.50,,no,not the first qualifying rung of this walk,g16m16,collector,,,,,,,,,,g16m16_q133.csv
cliff,glassfb,ep16_0_8_4.txt,16,128,16,2128,0,COMPLETE,91.464,0,78592,57472,0.0697,0.0008,0.8557,6.1432,478,sweep,post-fix rung; one job per rung,yes,9ac4f76,llamaMoE,glass,7.98,,no,not the first qualifying rung of this walk,g16m16,collector,,,,,,,,,,g16m16_q2128.csv
cliff,glassfb,ep16_0_8_4.txt,16,128,16,266,0,COMPLETE,93.696,33,78592,57472,0.0698,0.0008,0.8626,7.7380,488,sweep,post-fix rung; one job per rung,yes,9ac4f76,llamaMoE,glass,1.00,,no,not the first qualifying rung of this walk,g16m16,collector,,,,,,,,,,g16m16_q266.csv
cliff,glassfb,ep16_0_8_4.txt,16,128,16,4256,0,COMPLETE,91.464,0,78592,57472,0.0697,0.0008,0.8557,6.1432,480,sweep,post-fix rung; one job per rung,yes,9ac4f76,llamaMoE,glass,15.96,,no,not the first qualifying rung of this walk,g16m16,collector,,,,,,,,,,g16m16_q4256.csv
cliff,glassfb,ep16_0_8_4.txt,16,128,16,532,0,COMPLETE,91.471,0,78592,57472,0.0697,0.0008,0.8582,6.1287,467,sweep,post-fix rung; one job per rung | drops measured on the counter build at the same makespan,yes,9ac4f76,llamaMoE,glass,2.00,2003,yes,first zero-timeout rung (post-fix binary),g16m16,collector,,,,,,,,,,g16m16_q532.csv
cliff,glassfb,ep16_0_8_4.txt,16,128,32,1064,0,COMPLETE,102.763,0,78592,57472,0.1357,0.0008,1.7117,15.0997,933,sweep,post-fix rung; one job per rung,yes,9ac4f76,llamaMoE,glass,3.99,,no,not the first qualifying rung of this walk,g16m32,collector,,,,,,,,,,g16m32_q1064.csv
cliff,glassfb,ep16_0_8_4.txt,16,128,32,133,0,COMPLETE,135.127,2156,78592,57472,0.1822,0.0008,3.9717,27.4203,909,sweep,post-fix rung; one job per rung,yes,9ac4f76,llamaMoE,glass,0.50,,no,not the first qualifying rung of this walk,g16m32,collector,,,,,,,,,,g16m32_q133.csv
cliff,glassfb,ep16_0_8_4.txt,16,128,32,2128,0,COMPLETE,102.763,0,78592,57472,0.1357,0.0008,1.7117,15.0997,980,sweep,post-fix rung; one job per rung,yes,9ac4f76,llamaMoE,glass,7.98,,no,not the first qualifying rung of this walk,g16m32,collector,,,,,,,,,,g16m32_q2128.csv
cliff,glassfb,ep16_0_8_4.txt,16,128,32,266,0,COMPLETE,102.731,56,78592,57472,0.1361,0.0008,1.7082,14.7203,956,sweep,post-fix rung; one job per rung,yes,9ac4f76,llamaMoE,glass,1.00,,no,not the first qualifying rung of this walk,g16m32,collector,,,,,,,,,,g16m32_q266.csv
cliff,glassfb,ep16_0_8_4.txt,16,128,32,4256,0,COMPLETE,102.763,0,78592,57472,0.1357,0.0008,1.7117,15.0997,1000,sweep,post-fix rung; one job per rung,yes,9ac4f76,llamaMoE,glass,15.96,,no,not the first qualifying rung of this walk,g16m32,collector,,,,,,,,,,g16m32_q4256.csv
