paper_ref,variant,substrate,pj_bit,hcp,tile_i,tile_j,tile_class,pic_w,pic_max_C,pic_min_C,pic_spread_C,die_max_C,bc_source
thermal,design_map_1p15_si,si,1.15,70000,1,1,interior,15.54,117.854,64.512,53.343,118.324,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,1,2,interior,15.54,117.854,64.512,53.343,118.324,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,1,3,edge,37.34,118.422,63.942,54.480,118.847,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,2,0,edge,37.34,123.421,69.619,53.802,123.846,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,2,1,interior,15.54,122.849,69.421,53.428,123.320,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,2,2,interior,15.54,122.849,69.421,53.428,123.320,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,2,3,edge,37.34,123.417,68.867,54.549,123.842,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,3,0,corner,59.14,128.983,74.812,54.171,129.364,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,3,1,edge,37.34,128.411,74.614,53.797,128.837,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,3,2,edge,37.34,128.411,74.614,53.797,128.837,wrapper:run_panel_map.sh (gated against panhq db)
thermal,design_map_1p15_si,si,1.15,70000,3,3,corner,59.14,128.978,74.027,54.951,129.359,wrapper:run_panel_map.sh (gated against panhq db)
